BookId,Name,TotalWorks,TotalWords,TotalDays,LevelTag,ImgLink,Books
27801520907672704,吉祥夜,16,874万,2878,白金,"https://facepic.qidian.com/qd_face/349573/a401043018/0",19188324408052104;15616007105547604;13017347103192803;13007251603734603;12153977304568803;7540871404100401;6038070503667101;3756981504436501;25466265000483401;25453459000429201;3607076903420101;3606907804207001;3606757004006601;3606755103103701;3606840303230401
23267345801735004,花朝满月,3,287万,715,签约,"https://ccstatic-1252317822.file.myqcloud.com/portraitimg/2023-10-08/2fe41eddd7e8735b88584579360eb14c7WG8FrPqE99g0t7.jpg",28400287402125904;21373949608100304
25587167609305404,安知晓,10,1360万,3808,白金,"https://facepic.qidian.com/qd_face/349573/a400882929/0",22503638209712204;14877114405387804;12879845203138903;8410348603558103;3733580003258101;3733959804342801;3733359204040101;25414769000992501;5287361803343401
25752078901523704,莫伊莱,11,1461万,4221,大神,"https://ccstatic-1252317822.file.myqcloud.com/portraitimg/2023-02-13/987f49c5343f1a3c3caa7ce24b9fd95dy0D4tx00Y373yNn.jpg",20670443701149104;17976991001324904;13404537303880004;8743142704568903;4635144103322303;22741111000029702;22384821000180602;22349533000665602;22588262000304602;22414107000726702
28414596707233104,时京京,4,248万,622,签约,"https://ccstatic-1252317822.file.myqcloud.com/portraitimg/2022-08-21/b5e22e70337a9ce19edede8eb7cd7b15z229d0DnNoYPFH5.jpg",26704203609758004;24183350609678204;21588652001906104
17415658605564304,画笔敲敲,2,441万,1004,大神,"https://ccstatic-1252317822.file.myqcloud.com/writer/p1/contentv2/photo_default.png",23563092501128104
22157767309773504,郁雨竹,10,2029万,3877,大神,"https://facepic.qidian.com/qd_face/349573/a2437210/0",23743059609775504;21950873308320704;17034953304870404;13121988804875403;7436688304130703;4272381903111103;22213269000945402;21948549000742202;22446543000961202
9417477904611803,烟了了,1,265万,533,签约,"https://ccstatic-1252317822.file.myqcloud.com/portraitimg/2019-08-08/5d4b81d486e95.jpeg",
25639927501415304,槿郗,7,640万,1609,签约,"https://ccstatic-1252317822.file.myqcloud.com/portraitimg/2021-07-29/6102b22f0be1f.jpeg",24920432001880504;22921404701234304;20831154108229704;18567467608553804;15180577205492704;11426933303491703
8263527304935303,囧囧有妖,6,756万,1971,白金,"https://facepic.qidian.com/qd_face/349573/a7909386/0",22244524601367604;19118954508500004;14156142405054404;11410159504961703;4818982104534803
21855922801825904,花匪,1,55万,310,签约,"https://ccstatic-1252317822.file.myqcloud.com/portraitimg/2022-06-01/844520e148fff18367602a21b2a73862B601585oM8tN9kF.jpg",
15953225505698104,墨泠,6,1954万,3232,大神,"https://ccstatic-1252317822.file.myqcloud.com/portraitimg/2024-03-13/0a28124b0c29ae4c245bc7fef9a5ccefMpqe7J17EBW6wVI.jpg",18973470101456604;11297425304303403;8314915703615503;4591120804370303;23002217000122002
7036260604114001,绿依,9,1097万,3142,大神,"https://facepic.qidian.com/qd_face/349573/a400309418/0",21509014001551904;19089792601557704;16583791305954704;5128511403469001;3938052204720301;3735477304991601;3735435303086901;5391779703302801
17755279506421504,漫西,5,751万,1576,大神,"https://ccstatic-1252317822.file.myqcloud.com/portraitimg/2023-02-24/3212eeb0ae3ff453b5c5b35685255cf8608a182100p65u8.jpg",22313302009382504;13899265303683904;8855924504665403;5709390903846401
22436946000359002,林家成,12,1033万,3042,普通,"http://ccstatic-1252317822.file.myqcloud.com/portraitimg/2016-09-12/5942c9fd1b7a78789688068714dc28bd.jpg",3148413700960802;25114226000168302;22312481000716402;22362350000475502;22392230000941202;22576651000163202;22321447000341902;22330058000033502;22311513000633302;22396365000255502;22396999000311102
